X,Y,Z
ft,ft,ft
0.501026,52,0.140071
0.750861,52,0.116372
1.000761,52,0.101552
1.250625,52,0.081941
1.500557,52,0.071582
1.750458,52,0.056959
2.000354,52,0.041762
2.250275,52,0.029914
2.5002,52,0.018644
2.750131,52,0.008175
3.000148,52,0.009668
3.250662,52,0.079763
3.500927,52,0.11554
3.751175,52,0.148855
4.001408,52,0.180218
4.251627,52,0.20953
4.501925,52,0.249911
4.7522,52,0.286949
5.002365,52,0.308955
5.252635,52,0.345313
5.502863,52,0.375993
5.752604,52,0.339256
6.002392,52,0.308983
6.252184,52,0.279368
6.501965,52,0.248126
6.751507,52,0.184019
7.001331,52,0.158763
7.250896,52,0.097663
7.500605,52,0.056585
7.750339,52,0.01886
7.999499,52,-0.098157
8.249307,52,-0.125709
8.499221,52,-0.138463
8.749114,52,-0.15412
8.99897,52,-0.174933
9.248899,52,-0.185726
9.498587,52,-0.229713
9.748604,52,-0.228315
9.998547,52,-0.237071
10.248576,52,-0.233948
10.49862,52,-0.228806
10.748609,52,-0.231211
10.998642,52,-0.227497
11.248697,52,-0.220872
11.498697,52,-0.221764
11.74872,52,-0.219537
11.998778,52,-0.212417
12.248808,52,-0.209114
12.498832,52,-0.206655
12.748818,52,-0.209583
12.998833,52,-0.208389
13.248826,52,-0.21017
13.498842,52,-0.208999
13.748843,52,-0.209633
13.998861,52,-0.208069
14.248873,52,-0.207298
14.498903,52,-0.204163
14.74894,52,-0.199891
14.99894,52,-0.200862
15.248965,52,-0.198205
15.498953,52,-0.200816
15.748952,52,-0.201852
15.998986,52,-0.198128
16.248982,52,-0.199515
16.498946,52,-0.205379
16.748964,52,-0.203765
16.998995,52,-0.200458
17.24912,52,-0.18408
17.499042,52,-0.195716
17.749082,52,-0.191074
17.999593,52,-0.121388
18.24991,52,-0.078433
18.500264,52,-0.030445
18.750677,52,0.025799
19.001126,52,0.086978
19.251454,52,0.131396
19.501931,52,0.19645
19.752311,52,0.248053
20.002701,52,0.301074
20.252983,52,0.339273
