X,Y,Z
ft,ft,ft
0.001689,66.5,0.233513
0.251696,66.5,0.233543
0.501452,66.5,0.198973
0.751794,66.5,0.245286
1.001669,66.5,0.227189
1.251913,66.5,0.259949
1.501864,66.5,0.252368
1.751944,66.5,0.262488
2.002008,66.5,0.270389
2.252042,66.5,0.274185
2.50209,66.5,0.279904
2.752115,66.5,0.282533
3.002167,66.5,0.288735
3.252182,66.5,0.289969
3.502228,66.5,0.295426
3.752314,66.5,0.306395
4.002361,66.5,0.311992
4.25236,66.5,0.310952
4.502391,66.5,0.314281
4.752451,66.5,0.32176
5.002456,66.5,0.321502
5.252531,66.5,0.330974
5.502537,66.5,0.33093
5.752561,66.5,0.333283
6.002563,66.5,0.332653
6.252565,66.5,0.332024
6.502612,66.5,0.337679
6.752558,66.5,0.329266
7.002749,66.5,0.354758
7.252827,66.5,0.364714
7.502897,66.5,0.373498
7.752916,66.5,0.375127
8.003046,66.5,0.39221
8.253129,66.5,0.402774
8.503066,66.5,0.393145
8.753282,66.5,0.422136
9.00323,66.5,0.414077
9.253302,66.5,0.42314
9.503277,66.5,0.418719
9.753222,66.5,0.410234
10.003223,66.5,0.409515
10.253224,66.5,0.408697
10.503087,66.5,0.388908
10.753066,66.5,0.385078
11.003067,66.5,0.384296
11.252972,66.5,0.370204
11.502934,66.5,0.364096
11.752875,66.5,0.354994
12.002821,66.5,0.34661
12.252742,66.5,0.334838
12.502674,66.5,0.324476
12.752644,66.5,0.319502
13.002577,66.5,0.309259
13.252517,66.5,0.300166
13.502464,66.5,0.291834
13.752406,66.5,0.282925
14.002342,66.5,0.273142
14.252292,66.5,0.265312
14.502232,66.5,0.256184
14.752174,66.5,0.2473
15.00214,66.5,0.241707
15.2521,66.5,0.235176
15.502053,66.5,0.227863
15.752045,66.5,0.225858
16.00198,66.5,0.215866
16.251937,66.5,0.209096
16.501936,66.5,0.208038
16.751871,66.5,0.198149
17.001875,66.5,0.197796
17.252017,66.5,0.216467
17.502079,66.5,0.224169
17.75211,66.5,0.22752
18.002176,66.5,0.235761
18.252253,66.5,0.245465
18.502325,66.5,0.254597
18.752416,66.5,0.266243
19.002483,66.5,0.274603
19.252558,66.5,0.284082
19.50261,66.5,0.290365
19.752667,66.5,0.297278
20.002725,66.5,0.304452
20.252782,66.5,0.311424
20.502841,66.5,0.318667
20.752887,66.5,0.324139
21.002946,66.5,0.331345
21.253001,66.5,0.338053
21.503067,66.5,0.346274
21.753125,66.5,0.353401
22.00318,66.5,0.360163
22.25323,66.5,0.366193
22.503276,66.5,0.37166
22.75329,66.5,0.372635
23.003418,66.5,0.389385
23.253355,66.5,0.379794
23.503425,66.5,0.388525
23.753448,66.5,0.390826
24.003489,66.5,0.395674
24.25348,66.5,0.393426
24.503455,66.5,0.38918
24.753429,66.5,0.384576
25.003402,66.5,0.380006
25.253401,66.5,0.379
25.50336,66.5,0.372356
25.753355,66.5,0.370714
26.003362,66.5,0.370812
26.253346,66.5,0.367699
26.503313,66.5,0.362298
26.753302,66.5,0.359838
27.003296,66.5,0.358075
27.25329,66.5,0.356351
27.503248,66.5,0.349647
27.753229,66.5,0.346052
28.003225,66.5,0.344612
28.253161,66.5,0.334947
28.503108,66.5,0.3267
28.753094,66.5,0.323901
29.003084,66.5,0.321573
29.25302,66.5,0.311851
29.502944,66.5,0.300415
29.752881,66.5,0.290755
30.002797,66.5,0.27822
30.252711,66.5,0.26543
30.502628,66.5,0.253029
30.752558,66.5,0.242557
31.00248,66.5,0.230774
31.252387,66.5,0.217063
31.502321,66.5,0.207047
31.752267,66.5,0.198641
32.002185,66.5,0.18641
32.252103,66.5,0.174201
32.502025,66.5,0.162442
32.751956,66.5,0.15204
33.001916,66.5,0.145543
33.251872,66.5,0.138539
33.501831,66.5,0.131989
33.752136,66.5,0.173318
34.002395,66.5,0.208248
34.252655,66.5,0.243177
34.502914,66.5,0.278106
34.753173,66.5,0.313035
35.003432,66.5,0.347965
35.253691,66.5,0.382894
35.504026,66.5,0.428259
35.753848,66.5,0.402716
36.00353,66.5,0.357891
36.253235,66.5,0.316154
36.503002,66.5,0.283097
36.752788,66.5,0.252571
37.002674,66.5,0.235953
37.25253,66.5,0.215069
37.501758,66.5,0.107467
37.751463,66.5,0.06573
38.001657,66.5,0.091708
38.251722,66.5,0.099804
38.501777,66.5,0.106491
38.751828,66.5,0.112688
39.001866,66.5,0.116938
39.251918,66.5,0.123221
39.501964,66.5,0.12876
39.751996,66.5,0.132239
40.00204,66.5,0.137447
40.252079,66.5,0.141898
40.502116,66.5,0.146105
40.75218,66.5,0.154106
41.002215,66.5,0.158061
41.252231,66.5,0.159263
41.50228,66.5,0.165219
41.752317,66.5,0.16935
42.002375,66.5,0.176565
42.252403,66.5,0.179515
42.502456,66.5,0.185947
42.752509,66.5,0.192314
43.002569,66.5,0.199701
43.252633,66.5,0.207711
43.502687,66.5,0.214223
43.752749,66.5,0.221922
44.002803,66.5,0.228391
44.252855,66.5,0.234749
44.502902,66.5,0.240367
44.752942,66.5,0.245016
45.002996,66.5,0.251534
45.25303,66.5,0.255295
45.503059,66.5,0.25837
45.753111,66.5,0.264772
46.003135,66.5,0.267189
46.25316,66.5,0.26973
46.503158,66.5,0.268529
46.753178,66.5,0.270384
47.003178,66.5,0.269453
47.253178,66.5,0.268584
47.503173,66.5,0.266907
47.75279,66.5,0.213043
48.002601,66.5,0.186095
48.252454,66.5,0.164835
48.502262,66.5,0.137325
48.752083,66.5,0.111701
49.001945,66.5,0.091729
49.251765,66.5,0.065931
49.501578,66.5,0.039127
49.751425,66.5,0.017118
50.001335,66.5,0.00371
50.251138,66.5,-0.024378
50.50102,66.5,-0.041581
50.750922,66.5,-0.056017
51.000828,66.5,-0.069894
51.250644,66.5,-0.096299
51.500625,66.5,-0.099866
51.750611,66.5,-0.102674
52.000662,66.5,-0.096573
52.250569,66.5,-0.11026
52.500553,66.5,-0.113349
52.750537,66.5,-0.116556
53.000518,66.5,-0.12
53.25049,66.5,-0.124807
53.500476,66.5,-0.127668
53.75047,66.5,-0.129419
54.00045,66.5,-0.133001
54.250422,66.5,-0.137834
54.500392,66.5,-0.142909
54.750329,66.5,-0.152559
55.000256,66.5,-0.163432
55.250204,66.5,-0.171593
55.500154,66.5,-0.179385
55.750078,66.5,-0.190801
56,66.5,-0.202473
56.249937,66.5,-0.212108
56.499893,66.5,-0.219072
56.749839,66.5,-0.227502
56.999744,66.5,-0.241581
57.249662,66.5,-0.253789
57.499623,66.5,-0.260077
57.749576,66.5,-0.267461
57.999545,66.5,-0.272688
58.249511,66.5,-0.278254
58.499496,66.5,-0.281271
58.749495,66.5,-0.282342
58.999491,66.5,-0.283756
59.249498,66.5,-0.283654
59.499523,66.5,-0.28116
59.749555,66.5,-0.277606
59.99957,66.5,-0.276425
60.249602,66.5,-0.272928
60.499634,66.5,-0.269401
60.749679,66.5,-0.264039
60.999744,66.5,-0.256014
61.249844,66.5,-0.243101
61.499926,66.5,-0.232654
61.750004,66.5,-0.222777
62.000131,66.5,-0.206073
62.250258,66.5,-0.189379
62.500363,66.5,-0.175793
62.750507,66.5,-0.156861
63.000614,66.5,-0.142969
63.250734,66.5,-0.127263
63.500861,66.5,-0.110545
63.750991,66.5,-0.093438
64.001038,66.5,-0.087934
64.251243,66.5,-0.060494
64.501232,66.5,-0.062924
64.751346,66.5,-0.048076
65.001437,66.5,-0.036325
65.251464,66.5,-0.033562
65.501479,66.5,-0.032421
65.751491,66.5,-0.031657
66.001524,66.5,-0.027935
66.251508,66.5,-0.031107
66.501494,66.5,-0.033853
66.751474,66.5,-0.037597
67.001485,66.5,-0.036952
67.251455,66.5,-0.041963
67.501429,66.5,-0.046443
67.751401,66.5,-0.051274
68.001309,66.5,-0.064949
68.251154,66.5,-0.087289
68.501037,66.5,-0.104272
68.750916,66.5,-0.121985
69.000778,66.5,-0.141925
69.250632,66.5,-0.162981
69.500487,66.5,-0.183993
69.750479,66.5,-0.18597
70.000355,66.5,-0.204068
70.250223,66.5,-0.223221
70.500024,66.5,-0.251596
70.749953,66.5,-0.262328
70.999926,66.5,-0.267037
71.249901,66.5,-0.271345
71.499769,66.5,-0.290524
71.749743,66.5,-0.294994
71.999747,66.5,-0.295383
72.24975,66.5,-0.295895
72.499751,66.5,-0.296611
72.749759,66.5,-0.296331
72.999756,66.5,-0.297688
73.249762,66.5,-0.297774
73.499767,66.5,-0.298061
73.749771,66.5,-0.298287
73.999777,66.5,-0.298495
74.249784,66.5,-0.298402
74.499795,66.5,-0.297716
74.749815,66.5,-0.295831
74.999819,66.5,-0.296284
75.249833,66.5,-0.295139
75.499839,66.5,-0.295215
75.749851,66.5,-0.294478
75.999866,66.5,-0.293407
76.249828,66.5,-0.299553
76.499835,66.5,-0.299459
76.749832,66.5,-0.300779
76.999851,66.5,-0.29906
77.24985,66.5,-0.300089
77.499847,66.5,-0.30136
77.749844,66.5,-0.302725
77.999834,66.5,-0.305055
